brand,modello,superficie,livello,pressione,confezione,prezzo,nota
Wilson,US Open,cemento,avanzato,pressurizzata,3,5.99,pallina ufficiale US Open
Wilson,Championship,cemento,principiante,pressurizzata,3,3.99,ottimo rapporto qualita prezzo
Wilson,Tour Premier,erba,avanzato,pressurizzata,3,6.99,pallina ufficiale Wimbledon
Wilson,Triniti,cemento,intermedio,senza pressione,3,8.99,durata superiore
Babolat,Gold,terra,avanzato,pressurizzata,4,6.99,pallina ufficiale Roland Garros
Babolat,Team Clay,terra,intermedio,pressurizzata,4,5.99,ideale per terra rossa
Babolat,Team,cemento,principiante,pressurizzata,4,4.99,buona per allenamento
Babolat,Gold Grass,erba,avanzato,pressurizzata,3,7.99,specifica per erba
Head,Championship,cemento,principiante,pressurizzata,4,3.99,ottima per principianti
Head,Tour,cemento,avanzato,pressurizzata,4,6.99,pallina da torneo
Head,Tour Clay,terra,avanzato,pressurizzata,4,6.99,specifica per terra
Head,Padel Pro,indoor,intermedio,pressurizzata,3,5.99,ideale per indoor
Dunlop,Fort Clay,terra,avanzato,pressurizzata,4,6.99,pallina ufficiale terra rossa
Dunlop,Fort All Court,cemento,intermedio,pressurizzata,4,5.99,versatile per tutti i campi
Dunlop,ATP,cemento,avanzato,pressurizzata,4,7.99,pallina ufficiale ATP
Dunlop,Training,cemento,principiante,pressurizzata,4,3.49,ideale per allenamento
Penn,Championship,cemento,principiante,pressurizzata,3,3.49,best seller USA
Penn,Tour,cemento,avanzato,pressurizzata,3,5.99,pallina da torneo
Slazenger,Wimbledon,erba,avanzato,pressurizzata,3,7.99,pallina ufficiale Wimbledon
Tecnifibre,X-One,cemento,avanzato,pressurizzata,4,7.99,altissima qualita
Tecnifibre,Training,cemento,principiante,pressurizzata,4,3.99,ideale per scuola tennis
Yonex,Tour,cemento,avanzato,pressurizzata,4,6.99,pallina da competizione
Yonex,Training,cemento,principiante,pressurizzata,4,3.99,buona per allenamento
Nassau,Championship,indoor,intermedio,pressurizzata,3,4.99,specifica per indoor
Nassau,Gold,indoor,avanzato,pressurizzata,3,6.99,top per indoor
